CRX,CRY,TimeStamp
789.6237,435.4316,28/04/2016 13:40:43.818
804.2421,424.8888,28/04/2016 13:40:43.834
792.1779,432.0182,28/04/2016 13:40:43.851
793.4182,426.2889,28/04/2016 13:40:43.868
784.442,405.4586,28/04/2016 13:40:43.885
794.5768,431.2683,28/04/2016 13:40:43.906
856.4598,437.0638,28/04/2016 13:40:43.918
884.4276,414.5172,28/04/2016 13:40:43.934
914.3804,403.9911,28/04/2016 13:40:43.951
922.4812,419.4226,28/04/2016 13:40:43.968
943.6873,405.005,28/04/2016 13:40:43.986
945.2433,408.4739,28/04/2016 13:40:44.001
919.2573,411.299,28/04/2016 13:40:44.034
921.7175,436.4202,28/04/2016 13:40:44.018
898.9169,373.5653,28/04/2016 13:40:44.051
921.0449,401.7321,28/04/2016 13:40:44.068
948.5381,438.6166,28/04/2016 13:40:44.084
950.1078,428.0985,28/04/2016 13:40:44.101
961.0428,442.3745,28/04/2016 13:40:44.117
948.3433,436.3831,28/04/2016 13:40:44.134
986.3446,431.5399,28/04/2016 13:40:44.151
965.0807,421.7842,28/04/2016 13:40:44.167
960.7859,433.3406,28/04/2016 13:40:44.184
973.1563,439.0356,28/04/2016 13:40:44.201
953.1101,439.5481,28/04/2016 13:40:44.217
954.3751,434.4174,28/04/2016 13:40:44.235
964.3313,439.6275,28/04/2016 13:40:44.251
941.5674,441.4627,28/04/2016 13:40:44.284
963.7565,466.0049,28/04/2016 13:40:44.267
988.3831,441.9354,28/04/2016 13:40:44.301
959.6007,437.1947,28/04/2016 13:40:44.317
952.4553,429.8939,28/04/2016 13:40:44.334
950.1493,419.9456,28/04/2016 13:40:44.352
948.7593,441.1202,28/04/2016 13:40:44.367
981.849,444.3988,28/04/2016 13:40:44.384
966.7383,418.8055,28/04/2016 13:40:44.400
977.2419,442.0993,28/04/2016 13:40:44.417
985.314,431.7902,28/04/2016 13:40:44.434
995.9983,444.8618,28/04/2016 13:40:44.450
958.6208,431.1855,28/04/2016 13:40:44.467
952.8567,427.6296,28/04/2016 13:40:44.484
974.8591,456.617,28/04/2016 13:40:44.503
935.8044,395.8208,28/04/2016 13:40:44.517
921.4955,425.6576,28/04/2016 13:40:44.534
936.6117,411.2117,28/04/2016 13:40:44.550
986.1489,440.2672,28/04/2016 13:40:44.567
941.7749,425.4738,28/04/2016 13:40:44.584
916.7188,429.0681,28/04/2016 13:40:44.600
938.8788,414.6169,28/04/2016 13:40:44.617
913.8685,421.5337,28/04/2016 13:40:44.634
944.2511,417.0395,28/04/2016 13:40:44.650
907.6506,423.1006,28/04/2016 13:40:44.667
818.9756,421.7885,28/04/2016 13:40:44.684
657.8318,450.6653,28/04/2016 13:40:44.700
615.441,454.5802,28/04/2016 13:40:44.717
590.6332,470.4496,28/04/2016 13:40:44.734
617.8876,477.8613,28/04/2016 13:40:44.750
611.1494,448.8472,28/04/2016 13:40:44.783
597.5065,446.6888,28/04/2016 13:40:44.767
609.0459,439.683,28/04/2016 13:40:44.800
636.1284,456.7527,28/04/2016 13:40:44.817
608.3402,431.562,28/04/2016 13:40:44.833
618.1257,429.8317,28/04/2016 13:40:44.850
613.8332,462.4085,28/04/2016 13:40:44.866
620.7545,469.3928,28/04/2016 13:40:44.883
643.4111,456.9957,28/04/2016 13:40:44.900
634.3059,437.8865,28/04/2016 13:40:44.917
641.6135,462.8253,28/04/2016 13:40:44.933
619.6052,455.3743,28/04/2016 13:40:44.950
602.0486,442.8858,28/04/2016 13:40:44.967
614.5057,446.9665,28/04/2016 13:40:44.983
698.6281,478.2285,28/04/2016 13:40:45.002
728.6686,464.6478,28/04/2016 13:40:45.017
769.1775,475.2814,28/04/2016 13:40:45.033
780.3629,462.7281,28/04/2016 13:40:45.050
786.3934,467.8233,28/04/2016 13:40:45.066
817.4342,486.7733,28/04/2016 13:40:45.083
766.7004,688.747,28/04/2016 13:40:45.100
1301.0229,652.3787,28/04/2016 13:40:45.300
1192.6481,419.3972,28/04/2016 13:40:45.316
823.5573,400.3371,28/04/2016 13:40:45.333
852.3756,422.4916,28/04/2016 13:40:45.349
538.1801,451.6541,28/04/2016 13:40:45.366
504.1991,452.228,28/04/2016 13:40:45.383
1009.8142,401.5059,28/04/2016 13:40:45.399
1243.1179,396.4609,28/04/2016 13:40:45.416
918.52,486.3466,28/04/2016 13:40:45.433
934.998,470.155,28/04/2016 13:40:45.449
929.6158,451.2918,28/04/2016 13:40:45.466
916.3152,453.22,28/04/2016 13:40:45.483
933.1639,445.3806,28/04/2016 13:40:45.499
921.5085,463.571,28/04/2016 13:40:45.516
929.8462,437.264,28/04/2016 13:40:45.533
936.0249,475.1407,28/04/2016 13:40:45.549
922.8173,458.6282,28/04/2016 13:40:45.566
922.4078,469.2372,28/04/2016 13:40:45.583
