CSX,CSY,IsFixated,State,TimeStamp, ,Result
1329.4855, 537.4362,TRUE,7,43:19.9,,Fixation
1330.4156, 536.9728,TRUE,7,43:19.9,,Fixation
1330.3198, 536.8575,TRUE,7,43:19.9,,Fixation
1331.3894, 535.9439,TRUE,7,43:19.9,,Fixation
1331.6433, 535.4205,TRUE,7,43:20.0,,Fixation
1332.5305, 534.1815,TRUE,7,43:20.0,,Fixation
1332.5876, 533.4711,TRUE,7,43:20.0,,Fixation
1333.6663, 534.1266,TRUE,7,43:20.1,,Fixation
1332.2477, 534.2374,TRUE,7,43:20.0,,Fixation
1469.5089, 537.3604,FALSE,7,43:20.1,,Saccade
1474.7498, 526.9866,FALSE,7,43:20.1,,Saccade
1471.5315, 525.9099,FALSE,7,43:20.2,,Saccade
1470.9091, 523.4828,FALSE,7,43:20.2,,Saccade
1469.3141, 528.5674,FALSE,7,43:20.2,,Fixation
1468.6631, 529.6408,FALSE,7,43:20.3,,Fixation
1467.6512, 528.4124,TRUE,7,43:20.3,,Fixation
1465.7466, 531.7554,TRUE,7,43:20.3,,Fixation
1468.6147, 532.1036,TRUE,7,43:20.3,,Fixation
1468.2032, 534.6833,TRUE,7,43:20.4,,Fixation
1464.9471, 535.5159,TRUE,7,43:20.4,,Fixation
1464.4902, 535.0523,TRUE,7,43:20.4,,Fixation
1462.5627, 535.1573,TRUE,7,43:20.5,,Fixation
1462.3197, 534.7656,TRUE,7,43:20.5,,Fixation
1461.4816, 534.8054,TRUE,7,43:20.5,,Fixation
1459.9215, 534.7243,TRUE,7,43:20.5,,Fixation
1460.7646, 536.3018,TRUE,7,43:20.5,,Fixation
1135.8906, 315.8549,FALSE,4,43:20.6,,Saccade
929.2012, 222.5638,FALSE,4,43:20.6,,Saccade
907.5297, 203.8573,FALSE,7,43:20.7,,Saccade
898.8801, 198.2106,FALSE,7,43:20.7,,Saccade
896.2189, 201.6095,FALSE,7,43:20.8,,Saccade
894.4937, 193.2485,FALSE,7,43:20.8,,Saccade
903.5869, 170.5567,FALSE,7,43:20.8,,Saccade
533.2465, 178.9433,FALSE,7,43:20.9,,Saccade
412.476, 181.4145,FALSE,7,43:20.9,,Saccade
282.0998, 202.4781,FALSE,7,43:21.0,,Saccade
90.6833, 232.8806,FALSE,7,43:21.0,,Saccade
86.6206, 247.2716,FALSE,7,43:21.0,,Saccade
89.232, 244.3782,FALSE,7,43:21.0,,Saccade
85.8496, 230.2165,FALSE,7,43:21.0,,Saccade
84.6845, 227.0361,FALSE,7,43:21.1,,Saccade
87.3401, 228.3461,FALSE,7,43:21.1,,Fixation
89.2732, 225.4075,TRUE,7,43:21.1,,Fixation
90.3467, 226.0681,TRUE,7,43:21.1,,Fixation
92.9576, 227.044,TRUE,7,43:21.1,,Fixation
92.8378, 228.8955,TRUE,7,43:21.2,,Fixation
94.5573, 228.9447,TRUE,7,43:21.2,,Fixation
94.1874, 228.6488,TRUE,7,43:21.2,,Fixation
96.7466, 231.3379,TRUE,7,43:21.3,,Fixation
61.0969, 464.2921,FALSE,7,43:21.3,,Saccade
134.053, 692.0332,FALSE,7,43:21.3,,Saccade
247.3361, 753.1945,FALSE,7,43:21.3,,Saccade
301.316, 791.6445,FALSE,7,43:21.4,,Saccade
314.2939, 796.6904,FALSE,7,43:21.4,,Saccade
370.1171, 828.9023,FALSE,7,43:21.6,,Saccade
497.7995, 802.621,FALSE,4,43:21.6,,Saccade
613.0944, 759.69,FALSE,4,43:21.6,,Saccade
700.3202, 719.3511,FALSE,7,43:21.7,,Saccade
668.5151, 731.4261,FALSE,7,43:21.6,,Saccade
817.8782, 705.7622,FALSE,7,43:21.7,,Saccade
825.1687, 666.4362,FALSE,7,43:21.7,,Saccade
823.4452, 673.0546,FALSE,7,43:21.8,,Saccade
816.3356, 678.8676,FALSE,7,43:21.8,,Saccade
818.8412, 684.9431,FALSE,7,43:21.8,,Saccade
821.801, 692.2642,TRUE,7,43:21.8,,Fixation
836.5915, 669.8937,TRUE,7,43:21.9,,Fixation
843.7967, 661.2183,TRUE,7,43:21.9,,Fixation
847.5753, 647.562,TRUE,7,43:22.0,,Fixation
846.4716, 654.0314,TRUE,7,43:21.9,,Fixation
850.0028, 642.7536,TRUE,7,43:22.0,,Fixation
852.3048, 638.134,TRUE,7,43:22.0,,Fixation
856.1337, 630.3133,TRUE,7,43:22.1,,Fixation
853.807, 633.343,TRUE,7,43:22.1,,Fixation
858.4599, 626.9026,TRUE,7,43:22.1,,Fixation
860.1205, 623.5022,TRUE,7,43:22.1,,Fixation
861.3008, 620.9247,TRUE,7,43:22.1,,Fixation
864.1062, 613.8102,TRUE,7,43:22.2,,Fixation
863.0845, 616.8858,TRUE,7,43:22.2,,Fixation
866.8954, 608.8758,TRUE,7,43:22.2,,Fixation
869.0472, 601.0952,TRUE,7,43:22.2,,Fixation
871.0861, 593.9975,TRUE,7,43:22.3,,Fixation
871.9598, 587.5765,TRUE,7,43:22.3,,Fixation
873.4255, 580.1943,TRUE,7,43:22.3,,Fixation
875.624, 572.7914,TRUE,7,43:22.4,,Fixation
878.7137, 565.3539,TRUE,7,43:22.4,,Fixation
881.9026, 552.3169,TRUE,7,43:22.4,,Fixation
880.105, 559.8846,TRUE,7,43:22.4,,Fixation
881.0537, 498.3768,FALSE,7,43:22.4,,Saccade
898.3781, 504.4722,FALSE,7,43:22.5,,Saccade
893.5671, 505.0049,FALSE,7,43:22.5,,Saccade
888.8502, 500.0494,FALSE,7,43:22.5,,Saccade
893.0151, 499.9371,FALSE,7,43:22.5,,Saccade
889.7623, 498.6919,FALSE,7,43:22.5,,Saccade
892.7045, 500.3298,TRUE,7,43:22.5,,Fixation
895.4817, 499.8819,TRUE,7,43:22.6,,Fixation
910.2429, 492.7949,TRUE,7,43:22.6,,Fixation
922.4949, 484.4274,TRUE,7,43:22.6,,Fixation
935.2671, 476.7411,TRUE,7,43:22.6,,Fixation
945.044, 470.1763,TRUE,7,43:22.7,,Fixation
952.9722, 466.4221,TRUE,7,43:22.7,,Fixation
965.633, 459.931,TRUE,7,43:22.7,,Fixation
971.1273, 455.6626,TRUE,7,43:22.7,,Fixation
980.4005, 447.9749,TRUE,7,43:22.8,,Fixation
976.1572, 451.5592,TRUE,7,43:22.8,,Fixation
985.657, 444.0517,TRUE,7,43:22.9,,Fixation
990.2347, 440.8745,TRUE,7,43:22.9,,Fixation
993.8076, 438.7503,TRUE,7,43:22.9,,Fixation
997.6823, 436.4023,TRUE,7,43:22.9,,Fixation
996.5858, 437.0497,TRUE,7,43:23.0,,Fixation
1000.3851, 433.2159,TRUE,7,43:23.0,,Fixation
863.9648, 604.5169,FALSE,7,43:23.0,,Saccade
786.1575, 691.8613,FALSE,7,43:23.0,,Saccade
783.2939, 698.2906,FALSE,7,43:23.1,,Fixation
780.2627, 700.8641,FALSE,7,43:23.1,,Fixation
778.9571, 701.4426,FALSE,7,43:23.1,,Fixation
778.8213, 699.7712,TRUE,7,43:23.1,,Fixation
779.8687, 697.4368,TRUE,7,43:23.1,,Fixation
777.7153, 698.1627,TRUE,7,43:23.2,,Fixation
777.3734, 700.4641,TRUE,7,43:23.2,,Fixation
776.8248, 700.1366,TRUE,7,43:23.2,,Fixation
777.7457, 701.9645,TRUE,7,43:23.2,,Fixation
777.6248, 702.8609,TRUE,7,43:23.2,,Fixation
778.4866, 702.3951,TRUE,7,43:23.3,,Fixation
779.1281, 701.3262,TRUE,7,43:23.3,,Fixation
779.4084, 701.2751,TRUE,7,43:23.3,,Fixation
778.101, 702.2432,TRUE,7,43:23.3,,Fixation
778.2218, 703.5289,TRUE,7,43:23.3,,Fixation
778.0405, 704.6295,TRUE,7,43:23.4,,Fixation
779.5254, 701.7072,TRUE,7,43:23.4,,Fixation
779.6115, 701.6594,TRUE,7,43:23.4,,Fixation
779.4821, 701.4689,TRUE,7,43:23.5,,Fixation
778.2007, 701.8853,TRUE,7,43:23.5,,Fixation
777.0818, 703.6489,TRUE,7,43:23.5,,Fixation
778.5721, 704.4553,TRUE,7,43:23.6,,Fixation
778.5812, 705.1806,TRUE,7,43:23.6,,Fixation
783.2109, 558.6665,FALSE,7,43:23.6,,Saccade
838.1247, 503.0789,FALSE,7,43:23.7,,Saccade
849.0222, 504.8564,FALSE,7,43:23.6,,Saccade
836.7772, 489.0134,FALSE,7,43:23.7,,Fixation
834.9557, 492.9792,FALSE,7,43:23.7,,Fixation
832.8153, 492.1549,FALSE,7,43:23.7,,Fixation
833.9212, 490.4727,TRUE,7,43:23.7,,Fixation
831.9803, 487.5742,TRUE,7,43:23.8,,Fixation
830.1035, 489.1281,TRUE,7,43:23.8,,Fixation
829.8425, 488.9375,TRUE,7,43:23.8,,Fixation
829.187, 490.7966,TRUE,7,43:23.8,,Fixation
1034.038, 514.2512,FALSE,7,43:23.9,,Saccade
977.9493, 526.6083,FALSE,7,43:23.9,,Saccade
1005.079, 521.5567,FALSE,7,43:23.9,,Fixation
1011.1505, 520.9213,FALSE,7,43:24.0,,Fixation
1012.0195, 523.1371,FALSE,7,43:24.0,,Fixation
1013.3325, 515.3904,TRUE,7,43:24.0,,Fixation
1014.7347, 517.3627,FALSE,7,43:24.0,,Fixation
1012.4974, 515.5029,TRUE,7,43:24.1,,Fixation
1014.1942, 515.4767,TRUE,7,43:24.1,,Fixation
1011.1307, 515.0721,TRUE,7,43:24.1,,Fixation
841.3254, 508.8244,FALSE,7,43:24.1,,Saccade
868.4375, 511.7143,FALSE,7,43:24.2,,Saccade
