CRX,CRY,IsFixated,State,TimeStamp, ,Result
898.3781, 504.4722,FALSE,7,43:22.5,,Saccade
888.7683, 505.5364,FALSE,7,43:22.5,,Saccade
879.5005, 490.1983,FALSE,7,43:22.5,,Saccade
905.4572, 499.6766,FALSE,7,43:22.5,,Saccade
876.9653, 493.8789,FALSE,7,43:22.5,,Saccade
907.1403, 508.4274,TRUE,7,43:22.5,,Fixation
911.4302, 497.3044,TRUE,7,43:22.6,,Fixation
1008.1495, 445.6649,TRUE,7,43:22.6,,Fixation
1012.1802, 422.5911,TRUE,7,43:22.6,,Fixation
1037.3104, 415.1083,TRUE,7,43:22.6,,Fixation
1027.356, 414.2354,TRUE,7,43:22.7,,Fixation
1022.2802, 434.6734,TRUE,7,43:22.7,,Fixation
1003.6833, 438.5139,TRUE,7,43:22.7,,Fixation
1022.7385, 412.6456,TRUE,7,43:22.7,,Fixation
1019.599, 411.442,TRUE,7,43:22.8,,Fixation
1023.9113, 409.3428,TRUE,7,43:22.8,,Fixation
1039.6967, 402.2034,TRUE,7,43:22.9,,Fixation
1035.9791, 408.694,TRUE,7,43:22.9,,Fixation
1026.27, 420.9216,TRUE,7,43:22.9,,Fixation
1035.5701, 414.5922,TRUE,7,43:22.9,,Fixation
920.5202, 508.3509,TRUE,7,43:23.0,,Fixation
1021.6907, 398.3555,TRUE,7,43:23.0,,Fixation
863.9648, 604.5169,FALSE,7,43:23.0,,Saccade
786.1575, 691.8613,FALSE,7,43:23.0,,Fixation
778.6293, 705.8336,FALSE,7,43:23.1,,Fixation
771.3145, 708.4229,FALSE,7,43:23.1,,Fixation
773.9607, 703.5671,FALSE,7,43:23.1,,Fixation
778.3497, 691.4738,TRUE,7,43:23.1,,Fixation
786.11, 683.9138,TRUE,7,43:23.1,,Fixation
763.4575, 703.1908,TRUE,7,43:23.2,,Fixation
775.1622, 717.8365,TRUE,7,43:23.2,,Fixation
772.6544, 697.1272,TRUE,7,43:23.2,,Fixation
786.6049, 718.3808,TRUE,7,43:23.2,,Fixation
776.6689, 711.0393,TRUE,7,43:23.2,,Fixation
787.7994, 696.6414,TRUE,7,43:23.3,,Fixation
786.2367, 688.7308,TRUE,7,43:23.3,,Fixation
782.4104, 700.4574,TRUE,7,43:23.3,,Fixation
761.5573, 714.0211,TRUE,7,43:23.3,,Fixation
779.9645, 719.4916,TRUE,7,43:23.3,,Fixation
775.7368, 718.166,TRUE,7,43:23.4,,Fixation
800.1804, 659.8087,TRUE,7,43:23.4,,Fixation
780.1737, 701.132,TRUE,7,43:23.4,,Fixation
776.9255, 698.9053,TRUE,7,43:23.5,,Fixation
767.8531, 708.5446,TRUE,7,43:23.5,,Fixation
760.2581, 718.1581,TRUE,7,43:23.5,,Fixation
795.805, 702.0313,TRUE,7,43:23.6,,Fixation
778.2742, 715.7009,TRUE,7,43:23.6,,Fixation
783.2109, 558.6665,FALSE,7,43:23.6,,Saccade
827.2549, 501.3059,FALSE,7,43:23.7,,Saccade
849.0222, 504.8564,FALSE,7,43:23.6,,Saccade
834.1547, 461.0701,FALSE,7,43:23.7,,Saccade
829.6298, 504.9574,FALSE,7,43:23.7,,Saccade
824.5424, 489.0175,FALSE,7,43:23.7,,Saccade
839.5278, 482.4268,TRUE,7,43:23.7,,Fixation
820.9117, 471.0862,TRUE,7,43:23.8,,Fixation
832.655, 490.8881,TRUE,7,43:23.8,,Fixation
815.9365, 498.5451,TRUE,7,43:23.8,,Fixation
822.0826, 504.9573,TRUE,7,43:23.8,,Fixation
1034.038, 514.2512,FALSE,7,43:23.9,,Fixation
977.9493, 526.6083,FALSE,7,43:23.9,,Fixation
1032.1395, 516.5181,FALSE,7,43:23.9,,Fixation
1023.0787, 519.6841,FALSE,7,43:24.0,,Fixation
1014.3691, 529.7407,FALSE,7,43:24.0,,Fixation
1006.1416, 506.0521,TRUE,7,43:24.0,,Fixation
1025.1443, 494.668,FALSE,7,43:24.0,,Fixation
1007.4199, 516.5414,TRUE,7,43:24.1,,Fixation
1025.3331, 515.666,TRUE,7,43:24.1,,Fixation
987.7658, 512.3842,TRUE,7,43:24.1,,Fixation
841.3254, 508.8244,FALSE,7,43:24.1,,Fixation
868.4375, 511.7143,FALSE,7,43:24.2,,Fixation
