CRX,CRY,TimeStamp, 
778.2742,715.7009,43:23.6,
783.2109,558.6665,43:23.6,
827.2549,501.3059,43:23.7,
849.0222,504.8564,43:23.6,
834.1547,461.0701,43:23.7,
829.6298,504.9574,43:23.7,
824.5424,489.0175,43:23.7,
839.5278,482.4268,43:23.7,
820.9117,471.0862,43:23.8,
832.655,490.8881,43:23.8,
815.9365,498.5451,43:23.8,
822.0826,504.9573,43:23.8,
1034.038,514.2512,43:23.9,
977.9493,526.6083,43:23.9,
1032.1395,516.5181,43:23.9,
1023.0787,519.6841,43:24.0,
1014.3691,529.7407,43:24.0,
1006.1416,506.0521,43:24.0,
1025.1443,494.668,43:24.0,
1007.4199,516.5414,43:24.1,
1025.3331,515.666,43:24.1,
987.7658,512.3842,43:24.1,
841.3254,508.8244,43:24.1,
868.4375,511.7143,43:24.2,
852.4562,530.3077,43:24.2,
856.6285,511.9263,43:24.2,
834.7976,515.4183,43:24.2,
847.8026,516.0265,43:24.2,
833.0569,533.4011,43:24.3,
849.7314,514.5207,43:24.3,
850.2089,538.3264,43:24.3,
847.7509,528.4429,43:24.4,
865.0728,518.5067,43:24.4,
826.3253,532.4257,43:24.4,
844.2906,525.329,43:24.4,
843.7417,522.3264,43:24.4,
848.0471,530.8764,43:24.4,
856.9039,528.9877,43:24.5,
835.3445,535.6448,43:24.5,
844.3022,535.671,43:24.5,
845.2645,519.6589,43:24.5,
841.1021,526.67,43:24.6,
848.132,521.5046,43:24.6,
836.5392,526.9057,43:24.6,
862.5251,533.2666,43:24.6,
853.8145,521.6727,43:24.7,
856.8844,524.8055,43:24.7,
866.5382,511.3644,43:24.7,
856.7799,527.3115,43:24.7,
856.5646,542.7542,43:24.7,
851.7932,521.5941,43:24.8,
844.3707,533.0109,43:24.8,
854.3198,539.0414,43:24.8,
867.2808,524.4135,43:24.8,
832.416,487.6124,43:24.9,
861.0746,538.308,43:24.9,
847.9993,542.8821,43:24.9,
835.0421,539.743,43:25.0,
856.2022,528.8245,43:25.0,
850.8506,523.5685,43:25.0,
847.4986,517.1194,43:25.0,
824.1007,541.7655,43:25.0,
830.4045,513.5757,43:25.1,
840.0518,517.4413,43:25.1,
854.3426,503.6479,43:25.1,
853.4792,532.9176,43:25.1,
858.382,516.9878,43:25.2,
668.4214,621.5842,43:25.2,
663.3781,646.0297,43:25.3,
674.847,634.5645,43:25.3,
670.585,632.2616,43:25.3,
671.0931,627.067,43:25.4,
664.3302,636.3251,43:25.4,
647.9296,646.6713,43:25.4,
671.9894,627.2723,43:25.4,
670.6978,652.8514,43:25.4,
617.4451,667.9104,43:25.5,
551.0483,716.2953,43:25.7,
569.0338,709.4172,43:25.8,
571.1151,706.0293,43:25.8,
555.4697,712.4017,43:25.8,
569.8577,702.3493,43:25.9,
576.7523,706.7098,43:25.9,
579.4965,711.5764,43:25.9,
559.0276,690.1514,43:25.9,
600.1057,701.9633,43:25.9,
742.4425,690.9871,43:26.0,
716.72,678.78,43:26.0,
739.4766,675.8164,43:26.1,
713.774,689.0021,43:26.1,
727.1309,670.2889,43:26.2,
727.9875,672.5012,43:26.2,
717.2629,681.9053,43:26.3,
717.287,689.625,43:26.3,
721.7509,675.5592,43:26.3,
716.9423,683.5682,43:26.3,
715.1597,675.1351,43:26.3,
712.4735,686.7925,43:26.4,
730.1536,691.7599,43:26.4,
714.7063,680.3564,43:26.4,
732.6416,677.73,43:26.4,
711.1525,689.2297,43:26.4,
737.6499,668.2101,43:26.5,
733.7407,666.3065,43:26.5,
721.7977,668.3286,43:26.5,
717.4309,687.352,43:26.5,
726.5554,663.3651,43:26.5,
748.6213,669.3866,43:26.6,
729.3856,670.4731,43:26.6,
739.3707,654.8279,43:26.6,
725.6775,666.3354,43:26.6,
728.3998,656.5269,43:26.6,
725.5369,653.7197,43:26.7,
721.1525,651.1711,43:26.7,
734.2283,656.267,43:26.7,
740.7703,651.7202,43:26.7,
743.859,668.5561,43:26.8,
727.4153,649.9271,43:26.8,
735.0784,653.2323,43:26.8,
719.1249,647.3315,43:26.8,
728.1194,671.6592,43:26.8,
746.3418,661.6049,43:26.9,
718.8284,651.0458,43:26.9,
731.8799,632.9037,43:26.9,
715.9819,645.9451,43:26.9,
737.6134,642.6269,43:27.0,
741.2985,659.0622,43:27.0,
761.29,605.2231,43:27.0,
788.5701,571.3956,43:27.0,
770.8708,599.5709,43:27.0,
790.9968,583.2046,43:27.1,
787.5626,583.2714,43:27.1,
794.311,578.0181,43:27.1,
768.1522,580.8282,43:27.1,
787.515,573.5923,43:27.2,
778.4404,575.834,43:27.2,
780.7022,581.653,43:27.2,
768.1871,590.1667,43:27.2,
800.1716,575.0778,43:27.2,
784.7729,560.2448,43:27.3,
769.8168,577.2686,43:27.3,
794.1307,569.8633,43:27.3,
774.8279,565.3761,43:27.4,
784.1219,585.6337,43:27.4,
805.3394,541.1404,43:27.5,
781.985,568.3856,43:27.5,
806.0465,580.2384,43:27.5,
801.7958,541.5752,43:27.6,
796.4102,551.345,43:27.6,
967.7825,537.7082,43:27.6,
802.3392,570.5546,43:27.6,
969.5338,530.4475,43:27.6,
987.1589,543.7678,43:27.7,
983.0682,547.9224,43:27.7,
997.6141,547.5825,43:27.7,
996.501,519.1898,43:27.7,
987.6674,554.7751,43:27.7,
992.158,515.684,43:27.8,
988.0508,531.6208,43:27.8,
979.8966,546.1197,43:27.9,
1017.2354,526.5968,43:27.9,
985.5367,537.8541,43:27.9,
1010.4393,530.0869,43:27.9,
949.011,537.6471,43:27.9,
808.6331,441.1207,43:28.0,
763.8936,452.3719,43:28.0,
764.0959,426.3962,43:28.0,
767.2072,427.3569,43:28.0,
764.4222,449.7455,43:28.0,
751.8983,464.9665,43:28.1,
766.7756,449.0361,43:28.1,
755.6857,447.3041,43:28.1,
746.9559,445.49,43:28.2,
786.0037,431.3575,43:28.2,
770.9032,447.8614,43:28.2,
775.0836,430.6655,43:28.3,
776.5823,422.2774,43:28.3,
780.9867,442.8127,43:28.4,
790.8762,444.9796,43:28.4,
779.3914,443.9567,43:28.4,
802.5621,419.7154,43:28.4,
772.9269,437.1094,43:28.5,
772.5356,421.2039,43:28.5,
769.6464,443.8011,43:28.5,
788.2755,435.3674,43:28.5,
778.865,454.7032,43:28.5,
775.106,447.2343,43:28.5,
791.8448,435.9715,43:28.6,
755.7291,418.1212,43:28.6,
780.4757,430.9909,43:28.6,
785.8507,442.9413,43:28.6,
760.2582,458.3547,43:28.7,
757.3079,429.2551,43:28.7,
789.8844,449.8576,43:28.7,
775.5762,422.06,43:28.7,
773.5723,459.4333,43:28.8,
783.4211,438.8396,43:28.8,
767.7036,432.9582,43:28.9,
767.4852,454.7811,43:28.9,
798.3346,408.6331,43:28.9,
801.9917,449.1805,43:28.9,
782.4078,451.7418,43:28.9,
785.4838,449.5122,43:28.9,
773.2439,440.7583,43:29.0,
784.538,456.9686,43:29.0,
786.5132,444.5405,43:29.0,
773.421,444.3436,43:29.1,
792.83,463.5148,43:29.1,
786.9476,437.3497,43:29.1,
772.6202,455.2843,43:29.1,
777.8377,467.1113,43:29.1,
779.8619,457.1309,43:29.2,
768.3951,448.4967,43:29.2,
771.6251,442.3379,43:29.2,
769.7437,449.8088,43:29.3,
776.812,465.9594,43:29.3,
775.7653,434.7961,43:29.3,
764.7722,464.0403,43:29.3,
782.5901,462.2749,43:29.3,
772.1046,458.8804,43:29.3,
780.6328,449.2962,43:29.4,
805.6972,423.2777,43:29.4,
765.9388,463.2815,43:29.4,
773.0287,451.1416,43:29.5,
759.0951,450.4557,43:29.5,
