Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
bookC (6),0,0,0.775,0.05,3.52,0,1,0,-1.629207E-07
bookCoversB (2),0,0,-2.824,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
book D (34),0,0,-3.447,0.653,3.529,0,1,0,-1.629207E-07
book D (32),0,0,-3.009,0.7080159,3.52,-0.7071146,0.7070417,-0.00636205,-0.006362936
paper (2),0,0,1.526,0.73,1.512,0,0.9991133,0,0.04210285
bookC (35),0,0,-0.72,0.05,3.519,0,1,0,-1.629207E-07
bookC (51),0,0,0.8239999,0.34,3.531,0,1,0,-1.629207E-07
bookC (15),0,0,0.6249,0.05,3.527,0,1,0,-1.629207E-07
tableClothA (1),0,0,3.21,1.49,3.56,0,1,0,-1.629207E-07
book D (23),0,0,-2.0134,1.376,3.5196,-0.1905681,0.9796576,0.01200799,-0.06173012
bookC (94),0,0,-2.2,0.048,3.525,0,1,0,-1.629207E-07
bookC (10),0,0,0.2769,0.05,3.527,0,1,0,-1.629207E-07
bookC (50),0,0,0.774,0.34,3.527,0,1,0,-1.629207E-07
plateDinner,0,0,-2.647,0.738,-0.203,0,0.08715575,0,0.9961947
plateDinner (6),0,0,2.79,0.803,3.65,0,1,0,-1.629207E-07
bookC (1),0,0,0.9733999,0.05,3.527,0,1,0,-1.629207E-07
chairDinner (2),2.660019,4,-2.609999,0,-0.408,0,0.2488932,0,0.968531
book D (7),0,0,-3.03,1.357,3.525,0,1,0,-1.629207E-07
book D (3),0,0,-3.18,1.357,3.525,0,1,0,-1.629207E-07
bookC (53),0,0,0.5749999,0.34,3.527,0,1,0,-1.629207E-07
book D (12),0,0,-2.402,1.357,3.525,0,1,0,-1.629207E-07
book D (29),0,0,-3.009,0.758,3.51,-0.7070938,0.7071197,-0.0001961157,-0.000196339
bookC (85),0,0,-2.6,0.048,3.525,0,1,0,-1.629207E-07
bookC (41),0,0,0.9809999,1.1924,3.527,-0.7071068,0.7071067,1.152023E-07,-1.152023E-07
tableClothA (2),1.119995,1,3.688,0.9860001,-1.873,0,0,0,1
CarpetA,0,0,1.85,0.01,1.8,0,0,0,1
